YOUTUBE油管新聞,#genre#
民視新聞台,https://4gtvmobile-mozai.4gtv.tv/FPSInEIGgEViMrKldWl-jeNICLEvizj_eHFPsBo520o%3d/index.m3u8?token=3yk9xNXED3xUQ53sGPPkeg&expires=1765044519&token1=R6QeIBea2oZflH94RbkXVQ&expires1=1765044519&refer=YzdkYzcwNTgtOWRkZC00Njk5LWIwYWEtMGQ0NTIzYWE3OTIy&y=0
三立新聞iNEWS,https://4gtvmobile-mozai.4gtv.tv/n_JcSR0Tedoudrz-t4Z-LYsZxiHHF4ss7uca4PXmlHw%3d/index.m3u8?token=QjuvvSmINgtJekpWIBKfRg&expires=1765044528&token1=qvhwi8jBIunY444Q8pr1IA&expires1=1765044528&refer=OWE5NmZjNDktM2UxNC00NDM5LTgwMGMtYzg2NDMyOWZmNGQx&y=0
TVBS新聞,https://4gtvmobile-mozai.4gtv.tv/GG93WjiNj9nCt0yov0h_NhM-BHX90hCPtzBWLMaE768%3d/index.m3u8?token=nK6jzBZLB6rbAW148SgjCg&expires=1765044536&token1=rHdOvLY-PIQUQBTtr8hdvw&expires1=1765044536&refer=ZWY2MDZhYzctZDM1YS00ZGYwLTk4ZmMtYjEzYWE3ZmIyNWQw&y=0
東森財經新聞台,https://4gtvmobile-mozai.4gtv.tv/hD3NT-ZTZR0fVyoJrOTlvQPomGg6T8HxPj0t5Hy6mZM%3d/index.m3u8?token=u0pe3W7w7qEGnye8zxq2xQ&expires=1765044548&token1=ihbisu4J1g6r7k0JWJPRzQ&expires1=1765044548&refer=NDBlODQ2ZTAtYTQzMy00NWVhLThkMTYtMDViZmVjYjdhYTZi&y=0
中視新聞,https://4gtvmobile-mozai.4gtv.tv/jHZKfNxuBHYLYsIpfGJsSTZjrZtLlNHV8QILv5EXLdw%3d/index.m3u8?token=q6vi0QNmiV6ZbE0sw1qvqg&expires=1765044556&token1=6PO2bDRVnkumS9n6DlBHdQ&expires1=1765044556&refer=NjgwOTNkMDItMmUzNy00NjNjLWI5NTktYjVlOGU2ZTc1NTUw&y=0
中天新聞台,https://4gtvmobile-mozai.4gtv.tv/zBeCa3Mzo5Te4GYXw2oFawARVY8TxTbpb770RSE1zMs%3d/index.m3u8?token=zSUgbICwGkPe1OZ8dtcZTw&expires=1765044566&token1=QhcSZURcTAWPA10PZ1DMOQ&expires1=1765044566&refer=Y2RjMDI4MjctNTVkOC00ZDcxLWI1NzQtZDE2OWM3MWFmMGJk&y=0
Bloomberg TV,https://4gtvmobile-mozai.4gtv.tv/lxR7GHNn13xP8PLk-DL6QZynRLPdC7w4S5VGTW6-c68%3d/index.m3u8?token=-r1SqqkPSwa1F2UjqMEBpg&expires=1765044579&token1=b5__nAIffU9oOJ5Ez4_ajA&expires1=1765044579&refer=NWM0YmU2MTMtMjEwMS00ZTAxLTllMjQtZTM0MGEyMTQxMzli&y=0
寰宇新聞台,https://4gtvmobile-mozai.4gtv.tv/LWa_z8Ip59n83Kki5j05mRlpEczIF3w9-IL2db2MdDc%3d/index.m3u8?token=-PXdxm4dRemawgG_N75xAw&expires=1765044593&token1=P-tw5B0ca4su6jsIwkJhrQ&expires1=1765044593&refer=N2FmMDZjZWItY2JlZi00M2YyLWFmMDEtYTkzYmVkMjVkYmNm&y=0
寰宇新聞台灣台,https://4gtvmobile-mozai.4gtv.tv/5MFl_XLCt3zBR97i2IVEEfHJrh2vpFEqF6jRuDGer2A%3d/index.m3u8?token=X-CFHPhr7r1jdWzEYps8Pg&expires=1765044603&token1=BXzm5CxTbbLUVlxGp5FQEQ&expires1=1765044603&refer=YmI2MjgwOTUtZmE4Yi00ZTQzLWI0ZjktOTQ3YzUzMmQ0MzQ1&y=0
SBN全球財經台,https://4gtvmobile-mozai.4gtv.tv/J4htnVQ368tNODiSyZSRtYS04p7BLLl49BXyfd6zNbs%3d/index.m3u8?token=Qw1KqITXV_npfMWMNdITJA&expires=1765044621&token1=a-WNQWYkhqvJ9q_xl_I9Ow&expires1=1765044621&refer=NTdlMWU2YmQtOTdlNi00NGJlLWFjMjgtZDUxOWE1NDI0OTEx&y=0
TVBS,https://4gtvmobile-mozai.4gtv.tv/qQlVx5A7iZxGvUbmRCd7P-Zb_mK4vZVUls-JwTiGDck%3d/index.m3u8?token=l6z4H9Le_bkxlCTuVdBhRA&expires=1765044629&token1=BevICO9-A2-tE9egO5qi6A&expires1=1765044629&refer=MjBlZjFiNTAtZTY3Ny00ODE0LWI3NmUtMjEyYzE3YzRhYWY2&y=0
 綜合,#genre#
民視第一台,https://4gtvmobile-mozai.4gtv.tv/TZa2avZ7FFIxhqTIY6fc8VKEy5LyetBX9V60khnKcT8%3d/index.m3u8?token=AJam0iIG9ztupNrUz9EwUw&expires=1765044164&token1=d_GW2Qp3LzuO03hL41ShOA&expires1=1765044164&refer=ZDM4ZDFiNWUtNzI3MS00OTMyLTljYjctZWVkZjg0OGFkZmEy&y=0
民視台灣台,https://4gtvmobile-mozai.4gtv.tv/3CBAz02CaGS1SMF6rVKUVsgBo1VRiREPVWakw271Y30%3d/index.m3u8?token=yrfQTS-aiEdmS0yVXEW7DQ&expires=1765044174&token1=s-PkJuPkO4ZzbkPZqSuSug&expires1=1765044174&refer=ZWY4OTYzOWYtMjgzYy00N2Y1LWIxNzctNmE4MjczZjgxNWVh&y=0
民視,https://4gtvmobile-mozai.4gtv.tv/901U71P6icNDEIm4CMr_5w-EUfBlxSCYbIvQvMQksug%3d/index.m3u8?token=sPSsMIXhOLiCVKofgH0P5A&expires=1765044183&token1=tns2YYCN4h10LkyTRVYWgg&expires1=1765044183&refer=Y2QyYmU3MDYtZWRmZC00ZDljLWEwOGItOGNhMjJmMTA4YWI1&y=0
大愛電視,https://4gtvmobile-mozai.4gtv.tv/dzOO2GlwN2FsOfRLgsCp1Av3P1ehuQOTMgYU-jNKUL4%3d/index.m3u8?token=JeF1GdLWFyuGt-jXt8HI6g&expires=1765044191&token1=QFu2PlERBj-k77fhZSnnmg&expires1=1765044191&refer=MTkxODI5NGItZDc0NC00NmQxLTk3NTMtZGZlMzJlNzQ2NDkx&y=0
中視,https://4gtvmobile-mozai.4gtv.tv/dY_ljncN37hXBAs2MX13_JgVLU5L9bo8n99tljBh_38%3d/index.m3u8?token=aQDc6pe9r-oicvoly-kaaw&expires=1765044202&token1=sUOtarB4qlOLwOE-HX3g-Q&expires1=1765044202&refer=NWQ1MWUyMzYtM2U1OC00ZTc3LTg1MzMtNmM4N2JlNjI4NTEw&y=0
中視經典台,https://4gtvmobile-mozai.4gtv.tv/JPgbQ47U4cDW-bpI1oUPz-5G36LR4MCj9D6PtImKeuc%3d/index.m3u8?token=vyyfd3FlIcybm1llGE5PnA&expires=1765044218&token1=ubOTPlcc6YuA8UjNK_V3ug&expires1=1765044218&refer=NzMyNDdhZjctZWQwMS00OWFjLWE2OGItYWJlMmE4YWNkYTQ0&y=0
華視,https://4gtvmobile-mozai.4gtv.tv/s1O0hyKBvdFboFL74gacgLw-m1RoC47TMQlocSTuls8%3d/index.m3u8?token=uMBxvMOpiW01diMGc5Y8qw&expires=1765044228&token1=i2zcTt3R-fVzoj9YhxNXGQ&expires1=1765044228&refer=MmNhMjYxZGMtMmIxMy00NDk4LWFiNDQtYTY2MmYwYjhkMTlm&y=0
三立綜合台,https://4gtvmobile-mozai.4gtv.tv/xhDiuWHJjasth1Wrz1arXzuTJRsprDmCk96oX6jVNFA%3d/index.m3u8?token=YTSm-a4pH66oXqiBp9_TJg&expires=1765044239&token1=tmaXVwROxTD6sOuhZgO58g&expires1=1765044239&refer=Mjg2OWJjODItODNmNS00YmM3LWIzYTgtYWRjNjA2MjNjN2Iy&y=0
客家電視台,https://4gtvmobile-mozai.4gtv.tv/Js4WyaaL_jmBWLxxOnFaKOIZY4Hj7Og3JP4RcK64BKc%3d/index.m3u8?token=-xoe2FrMRtPnkJV4qMlpYQ&expires=1765044246&token1=M3VWs7_hoH0FN1QPmLEtVg&expires1=1765044246&refer=YTNhYzdiNDMtYmI4Zi00Yzg4LWE3NDItYjg2ODg4NmM2Nzhk&y=0
八大綜藝台,https://4gtvmobile-mozai.4gtv.tv/TLN7jLbtQ-sgWMVFFXgrc-eWY_h0y11rfOFhudhFF0w%3d/index.m3u8?token=wDTHxlZdNLeCbIgisD4Jzw&expires=1765044255&token1=Q1XPV0_A6cb8S0cshHV-Rg&expires1=1765044255&refer=NGEzZGNmMjEtN2NlMi00OTg1LTlkNjktMmRkOGYwNDM5ZWFh&y=0
中視菁采台,https://4gtvmobile-mozai.4gtv.tv/upA-zh8dTemlnA73S3EjstaADxHa_LaRuR9M2oQgnc4%3d/index.m3u8?token=r5ceZqLshVBzzoDVuZ48vA&expires=1765044266&token1=jtMtTS_E5yA_13ZnJmtXSA&expires1=1765044266&refer=OGYzZTRkMGQtYjZhNS00MGZmLTkzZDQtMGJiMTk1M2Y2NjJl&y=0
TVBS精采台,https://4gtvmobile-mozai.4gtv.tv/gZsq5pFV8Dony6C1lrncX3jkuFg-IB5kvMXtYrJBlyI%3d/index.m3u8?token=t7PIRGs3Mq4HmK9z1loNPg&expires=1765044274&token1=4lDcKEc7M6pDc4niFSOyuA&expires1=1765044274&refer=NTU2YjMyYzYtMWQ3NC00OTFkLTgzNzYtNjJhOGMxYzQ1MWM1&y=0
愛爾達娛樂台,https://4gtvmobile-mozai.4gtv.tv/ECCC5ULFths38mKPu831U9ovEp2Jqc_SInjSwnPQw40%3d/index.m3u8?token=Gc8SV0EMlcXmvQoLhZYgZA&expires=1765044289&token1=I2Ij5lZU8UwDNlUK63TTdg&expires1=1765044289&refer=OTkzYTc0OTYtYmUxOS00M2E2LTgxNDEtM2NmY2VjZmI3MzVm&y=0
靖天綜合台,https://4gtvmobile-mozai.4gtv.tv/HHPL6UdkW0FaSfGFVUwcJmRLrpeZNYnmTwV7kGXHVWg%3d/index.m3u8?token=FSIzOB2l6mrizJay2jAcvg&expires=1765044301&token1=3xsqjzfOEZ5-HOIGc1Wbtw&expires1=1765044301&refer=NjVkZGEwY2MtZTAxNS00ZjA3LTk3NjItOWNmYWQzMWYxYzNm&y=0
音樂綜藝,#genre#
靖天日本台,https://4gtvmobile-mozai.4gtv.tv/XaX1Tpcef8Byd0YWWsK1nmmGIKuo8cKu1c0lGW0E_OA%3d/index.m3u8?token=xgTUYk05QdbRnybqq0Zthg&expires=1765044314&token1=X_Dutrea-W-wNxmkWnCisQ&expires1=1765044314&refer=MTNkODM3M2YtOTJlOS00Y2ZiLWE5YzgtMGNjNzA1Y2I2NDVl&y=0
綜合,#genre#
新唐人亞太台,https://4gtvmobile-mozai.4gtv.tv/ODs9uhtcRfOEyUvgUwHqn7oTRlDJAqW-Kclh-wXTJGM%3d/index.m3u8?token=azzzfbscvg_W0NmzVP9vHw&expires=1765044324&token1=nQG4HGC7LuRNg7s8lXpMhw&expires1=1765044324&refer=ZmU2ODE0YWUtZWY4YS00MzY3LWI1OTctMjJlODhiYTkwZDcy&y=0
ARIRANG阿里郎頻道,https://4gtvmobile-mozai.4gtv.tv/0OcqgypQC-LI6ul8bk9D2gj_wAgD615UGZsEaZt-Si8%3d/index.m3u8?token=DKwHOgzb-BZofRiTzqzMIg&expires=1765044334&token1=AzQ4gJskxnYPWUMurwFk2A&expires1=1765044334&refer=ZGVhYzQ4MjYtNmRkOS00Y2QzLTkxMWYtZWE4YWY3MTU2ZGQ4&y=0
Global Trekker,https://4gtvmobile-mozai.4gtv.tv/gmCcWqLS4Msi91zb4Mlw8yaFiXOXbY5wiQ2CbUO2fA8%3d/index.m3u8?token=3lTXvxUZJCtktyqOa9jZfw&expires=1765044343&token1=VUOjqNMXMMiMEHr-Fw4dug&expires1=1765044343&refer=NDM2MTM2YzctMmFiZC00ZjRjLWE2NDQtNTk0MWMyODAxOWY5&y=0
原住民族電視台,https://4gtvmobile-mozai.4gtv.tv/t_cpcnKq5idsXf7O1k2y7mIdppK2IsOUCqrNsBNHK7Q%3d/index.m3u8?token=0hEWvxP8LlaDY_tRV4esSg&expires=1765044353&token1=sGxxZ5cq0w5RUTWKLaUc5w&expires1=1765044353&refer=Y2E0ODBhZmYtZGE3My00NjMyLTk2NzItZGZmYTA3YjVkYzI0&y=0
東森購物四台,https://4gtvmobile-mozai.4gtv.tv/CWuzg5JHG8D2BPVP2MUktnYasm0OTVh_72phPbKwzm0%3d/index.m3u8?token=e_I8z4BgBTwaNENq9R3i-Q&expires=1765044361&token1=rJ1k-f6WsNIbzFqVXR7O0Q&expires1=1765044361&refer=MDE0Mjk0ZGQtYjg5ZC00YTU5LThlOWQtMDMyOTIwY2EzMmQ2&y=0
兒童與青少年,#genre#
LiveABC互動英語頻道,https://4gtvmobile-mozai.4gtv.tv/A2uiF22imqVIbuY3zsRlYzv6ee0uHH9-RMTey6wJbtw%3d/index.m3u8?token=L1U4VmJKM2Dq2EAzpErOsg&expires=1765044369&token1=DFl3yxhF-IG9FFcSCFTPwg&expires1=1765044369&refer=YjY5NmVjOGItNDVhYi00YjA0LWEzOWYtNDg2YmQ1OGNmZDMy&y=0
達文西頻道,https://4gtvmobile-mozai.4gtv.tv/eCX6lzwOm9_4YP7J6kdx8nEdpV0_2qD1Eb1-B7EIUYo%3d/index.m3u8?token=a_nIyhzo8k0lPFp2H-zwqA&expires=1765044387&token1=-6TWseyP0RpkB9NztWmpOA&expires1=1765044387&refer=MDk5NmJjNjUtY2Y4My00ZDM2LWFkMmMtZGVjNjU5OWEyN2Vi&y=0
ELTV生活英語台,https://4gtvmobile-mozai.4gtv.tv/B91dEd754b8RogBsTwAOIOdIbXwEVOOexLCRHbu9IYA%3d/index.m3u8?token=d3OsHPrl71PSvNn4nG3v6A&expires=1765044399&token1=YI3SielUprKBwiY8e2UMnA&expires1=1765044399&refer=MjMyZTAyMzktMzVkMy00ZDljLWJlODQtYmMxZjk3Y2JkYzYz&y=0
Nick Jr. 兒童頻道,https://4gtvmobile-mozai.4gtv.tv/9LCDfQi5IHXGx0Yl6-rRverNTqMHTuTpJOsnr3MGluA%3d/index.m3u8?token=0wewrFNfIBBl8O8zsu1KeA&expires=1765044408&token1=w8IJUxXBnaiOdtiTdrXUxA&expires1=1765044408&refer=MjQ0NzQ0ZTEtNWViNS00YzFiLTk0OGYtZjVmZDUzMmYyNmRm&y=0
尼克兒童頻道,https://4gtvmobile-mozai.4gtv.tv/g-QQv4xsYsAockB1musLuSvmwmKjkXmQ3xFlz-6MZEQ%3d/index.m3u8?token=cGIWqgvpbVmqg7utVuo04w&expires=1765044415&token1=n0ytSEEdFpQwDxHBJ9PRXQ&expires1=1765044415&refer=NGYwZDNiNDUtOTVkMC00YWRiLTg5NTktY2FlNWNjYjEyZmRl&y=0
DreamWorks 夢工廠動畫,https://4gtvmobile-mozai.4gtv.tv/HnYsaqXZErUsqA9cHgwZwUwwVIij55rj_zytgY0fLJA%3d/index.m3u8?token=3hAe-p6NwlWfn6kv8BNtTQ&expires=1765044425&token1=e7fzXF7Ao0tQ3EDZkWvcww&expires1=1765044425&refer=ZjUyNGE5NmQtYjFlZS00N2U4LTkwOTYtMTFhNjYwZWRhZWVi&y=0
靖天卡通台,https://4gtvmobile-mozai.4gtv.tv/hJ7jW1DA-t8qK8gPA2xgyzfBjreEYKZZh5dfWEqWju4%3d/index.m3u8?token=k-nfV75m8KxqgFwzLsyB0g&expires=1765044434&token1=iQ4ZZKMYPU_rnaAz6cckuA&expires1=1765044434&refer=NDY4NjY5YjgtYTJiYy00OGUxLTk4NGQtMTBjOTYxYzUxNTA0&y=0
靖洋卡通Nice Bingo,https://4gtvmobile-mozai.4gtv.tv/tr_mEB3Uhtl5L_ZNWpCKq-qOxWdayEPe-gs3v875ztc%3d/index.m3u8?token=8MTzSpzEbNr-P5eoVhdXTA&expires=1765044463&token1=UuYI_7yqII2OGxwCLh4lTw&expires1=1765044463&refer=MTgxNTVhMTktZjk3MC00NGFiLWFmOGEtNTI0Y2NkM2E4OWE0&y=0
MOMO親子台,https://4gtvmobile-mozai.4gtv.tv/rpXLgrK6JkhSZa3LETsdV-ny38ItLTKp6Iakbcorv2k%3d/index.m3u8?token=8rkUmI_JoXUurhK3ew_hjQ&expires=1765044475&token1=Gnhx8eH2N1uDZL5Snb8nNA&expires1=1765044475&refer=OGQ4YjI5NTUtNzgzNy00YmU2LTliOTEtNWJiYTNiYjZhYjlh&y=0
綜合,#genre#
東森購物一台,https://4gtvmobile-mozai.4gtv.tv/xWBviiYjSCVCsheUh-Vu1TVdKhmgerShqJ1Snu-b8t8%3d/index.m3u8?token=jVwQlbuqyqh7BEYQhQzdRg&expires=1765044484&token1=87vlL3iqyAL2gDXarM-6MQ&expires1=1765044484&refer=OTJiMWYxMGItZDIwNi00ZmViLTlmMDctOTJlYWZlNmJiNGMx&y=0

綜合,#genre#
東森購物二台,https://4gtvmobile-mozai.4gtv.tv/XLLDdQLo6uWp6NOHn5Kn2pvbocf38vwa2iC3TB4BoJM%3d/index.m3u8?token=Qa_n24iTXZ1WKdDIabTnhA&expires=1765044644&token1=7qkWq58vvWBNUq6Y6fLczA&expires1=1765044644&refer=MTU5YTliNjItNjliZC00ZDRmLWE3M2QtYzU3NGRlZjEyY2Q4&y=0
音樂綜藝,#genre#
民視綜藝台,https://4gtvmobile-mozai.4gtv.tv/2KZhLE8_9OItqoa_Zk_OMvWIQ49a879wNqpwIol5VBk%3d/index.m3u8?token=3qOwclMdJKXN4E2Wcb5eOw&expires=1765044653&token1=p8quAJhczVcgwMo4VkXDew&expires1=1765044653&refer=YjU0MmJiMzUtMmY1Yy00OTllLTgyNDgtYzBjMWJhMjNjODFh&y=0
豬哥亮歌廳秀,https://4gtvmobile-mozai.4gtv.tv/sPaGTtMnEtqRTsGdKZU72Xcch4mgd5i-LmRd9e-nNqU%3d/index.m3u8?token=Dn7FRwa2kRUK9qD4UK5Rig&expires=1765044662&token1=aeY-bOe9NAJnAY24GfKWxg&expires1=1765044662&refer=ZWUwNTA4OTAtN2M5OC00MjM3LWE1NzMtZmYyY2M2OGVmYWRi&y=0
靖天育樂台,https://4gtvmobile-mozai.4gtv.tv/YF8-naXV1SqMayakuibt6MD2_IoaHU23ZqHV7kQ9e7g%3d/index.m3u8?token=45sVFmfIjxziyWGQV6FQpQ&expires=1765044670&token1=4D9KfUIWKPub6jZWaKgNFA&expires1=1765044670&refer=YjM3ZjMzYjItZDVkNi00OTRiLWJkYmItOTBlMGFmNmMxOTU0&y=0
KLT-靖天國際台,https://4gtvmobile-mozai.4gtv.tv/MvPtE4eUNbSKwCJ9EUiVBAPXE-H7EnC1AAE1YicMNmk%3d/index.m3u8?token=qRbMgPYm-sX19WkQOhehXQ&expires=1765044680&token1=TKAoWG2D1p9IGO5d5OQmkA&expires1=1765044680&refer=NjJjMGJmM2YtZDBiOC00NGY2LTk3NDgtMzU3YWJmYTk1NTgz&y=0
Nice TV 靖天歡樂台,https://4gtvmobile-mozai.4gtv.tv/zbLpMlKcAOVte0b8ITRTon4BMbIWlOv6REdYjmg-LIc%3d/index.m3u8?token=PWi7aE5-vyI4zdtiSMIH5w&expires=1765044690&token1=61_YiEYAnJ7NLLhSexk8TA&expires1=1765044690&refer=YWY1MmUyMzQtNjZhOS00ZGRkLWJjZjQtN2YzYzI5OTNhZGY5&y=0
靖天資訊台,https://4gtvmobile-mozai.4gtv.tv/E6Wvxisleu1-M-OpLuw-Y37elatNcfLlBHkWNTfRrxU%3d/index.m3u8?token=ZQljMZ-IRuM0Q5psYEZg3Q&expires=1765044707&token1=vV5FNX0pLq06eg1Thbydkg&expires1=1765044707&refer=ZjM0YWQ5MWYtOTU4MC00MGE2LWI4YjItN2E3YTRhZjJmMDY0&y=0
TVBS歡樂台,https://4gtvmobile-mozai.4gtv.tv/dtZQHKFuJ6B-62eI2mRQ8SM2mn5BwKDNzGAyCscceqQ%3d/index.m3u8?token=qBgvrQLMcs-xDxtcCAMT1A&expires=1765044718&token1=oQrJ0udO6yEVipFbK0GlGA&expires1=1765044718&refer=ODRjNWEyYTctYzFiMy00NzEyLWE1MDEtZGUwNWQxNTYwZTgy&y=0
綜合,#genre#
韓國娛樂台 KMTV,https://4gtvmobile-mozai.4gtv.tv/-0Y_NoKWW-DDJ4Qf145MUEWpi7xHiYpc89AGhil53vQ%3d/index.m3u8?token=OEiKGAa-jAeZmYeCSbKVxw&expires=1765044726&token1=vlTa-0oF2h5QkU3D_P8Zzw&expires1=1765044726&refer=ZjM1NmZhZDAtODE4Zi00M2JkLTk0ZGYtZGUyNTlkMDI4YWQ5&y=0
ROCK Entertainment,https://4gtvmobile-mozai.4gtv.tv/aTCA5Gb-Ua4tgX4hBsBPM3-AShUyaUoB_I-XEhRfvMw%3d/index.m3u8?token=nNGv0UCi2HBO6sezJsnnFg&expires=1765044735&token1=LHyG7xyK_pS583lJxEmHYQ&expires1=1765044735&refer=NmFjYzkxOTYtYmMyMS00MjAzLWE2MDEtODVkNjgxMDM1MDg4&y=0
音樂綜藝,#genre#
Lifetime 娛樂頻道,https://4gtvmobile-mozai.4gtv.tv/jAAhXtUjTBekjhg4WDKg4ZefQ4eZNlKXS84cS8UNwNs%3d/index.m3u8?token=494ywY1B77kBd86v3F9c8A&expires=1765044742&token1=HROZRDgwWn51VLE5H5vCqA&expires1=1765044742&refer=ZDE3MjUwNGYtOTRjOC00Mzc5LTk1YjktMzdlYTU3MTYwMDg2&y=0
電影原聲台CMusic,https://4gtvmobile-mozai.4gtv.tv/3KgRwK3pzPQX6a8AgJSsB946Pze5QrxKXT7_LLciJOI%3d/index.m3u8?token=9TAtWiJ12ciiDzqzkYXJEg&expires=1765044752&token1=3FoD6ziyOm_MBIFJLo-mMA&expires1=1765044752&refer=NmE2MjZlNjctMjM0NC00OTFlLWFiNDgtMzg2ODE0NmE0MTky&y=0
TRACE Urban,https://4gtvmobile-mozai.4gtv.tv/31ygQiP_NxUa_e68ssOaEmbbUQgxqgGkd-iU5CvOZpY%3d/index.m3u8?token=Bbt9ZF80TUHSpLsNrEqAZA&expires=1765044768&token1=kA9Yke3V-KT18zxvi2d1Yg&expires1=1765044768&refer=Yzg2ZWUwM2UtNDk0My00YzhkLTk4YzgtZjg2NmE5Njg2NDY2&y=0
MTV Live HD 音樂頻道,https://4gtvmobile-mozai.4gtv.tv/WUyZ0K1ut94PHUkGnPvOvZrc1uDt_VmHav9UIWdZVnY%3d/index.m3u8?token=LzyroIRVfKDf1z4mBIiUnw&expires=1765044777&token1=AhDVgThkZmqEZ3bEbyqy0w&expires1=1765044777&refer=ZmUwZTNiNmEtYTVlMi00MTU3LTg0MjktNmUxZjk5MzIxODg3&y=0
Mezzo Live HD,https://4gtvmobile-mozai.4gtv.tv/kF9bQ502m4rNW9gTqKbftENFn1_OnZUEDFUo8wQiDuU%3d/index.m3u8?token=Tk9iGyPsr_KDh7-Do1CB1g&expires=1765044785&token1=2GRtrU8_h1p1VnZ7_BG3rg&expires1=1765044785&refer=MzA4MDRkMjUtNzY1MS00YzQ5LWI3MDYtMDU3MmUwZmUyMTFh&y=0
CLASSICA 古典樂,https://4gtvmobile-mozai.4gtv.tv/BEr1vCgH_b5RsoH_-sVlA-Dn4Vm6sntem38shLNFUmA%3d/index.m3u8?token=KxLDqiEoH0Ie-5E3xJe1gQ&expires=1765044794&token1=jNA7anywHqUJ-lW40MlKbA&expires1=1765044794&refer=NWM1ZTMwZDMtNDQzNC00ZDQxLWFkNzEtMTFiOGJmNTA3YmFm&y=0
綜合,#genre#
東森購物三台,https://4gtvmobile-mozai.4gtv.tv/iiEVMFMhBSXn_EyoRVNOh9uxkwx00QYP9H_iPMAH_Sg%3d/index.m3u8?token=5XWvL2i3RiSaRCjvVgYO_Q&expires=1765044807&token1=a45d8uGbKUz9AOaZxzsK2A&expires1=1765044807&refer=ODE5ZGY2ZjgtZDE5MS00ZWI0LWFiZGQtMTFiZGRiMGViMWUy&y=0
INULTRA,https://4gtvmobile-mozai.4gtv.tv/FnWiUbX6j_AnMWvVm_NTJGD7Y2KwEeVSgn6qCT1S5lE%3d/index.m3u8?token=PsbFB8w0plpaMKJ8TkyvMg&expires=1765044817&token1=Ni823ZccGr4sczO7kxJBfg&expires1=1765044817&refer=ZWJiODlmYzYtZDY0NS00NWI2LThhZGUtNmZmNTk5Y2M2MGU0&y=0
運動健康生活,#genre#
TRACE Sport Stars,https://4gtvmobile-mozai.4gtv.tv/ycWQlA0Z006YrcoULViCc3-iq5I_q9uR-R3gJWqou1s%3d/index.m3u8?token=0KNq1QfIF_jvmoCnGsAKOw&expires=1765044825&token1=uxOyA5A22ECgcask2muvkw&expires1=1765044825&refer=MTQ1NjVjMWItZjlhMS00YTc4LTg5N2QtZGRmOWNhY2MxMDY4&y=0
智林體育台,https://4gtvmobile-mozai.4gtv.tv/rYlofbSr53hEL_xaMB4ltYk4RMremPvHoPPE5U3SpME%3d/index.m3u8?token=Nr1VMJtavdxpGsiI5qGURQ&expires=1765044842&token1=WjlHUTjuVuc5gewVCeBT9w&expires1=1765044842&refer=NWRiN2JjYjAtNTM5OS00YjFkLWE4YWYtZmRkYzEyNTFmYzI3&y=0
時尚運動X,https://4gtvmobile-mozai.4gtv.tv/eoJxsCBITC8XAfxcSjk0zWJSupcnZWNAXZnGgUQWRAE%3d/index.m3u8?token=8rU6k2BeyTxGTbnxKugRLw&expires=1765044854&token1=POwAXxNDDvVXsl8gE0Z88Q&expires1=1765044854&refer=NDcxZTU5OTItMjlhZi00MjJmLThmMDYtOGYzN2JlZDBkZTRk&y=0
